Stage,Region,Same date,Later date,No record
Notification,Metro,2594 (70.4%),343 (9.3%),748 (20.3%)
Notification,Regional,3591 (60.2%),741 (12.4%),1638 (27.4%)
Investigation,Metro,2472 (66.3%),417 (11.2%),839 (22.5%)
Investigation,Regional,3230 (56.0%),757 (13.1%),1783 (30.9%)
Substantiation,Metro,1643 (67.3%),220 (9.0%),580 (23.7%)
Substantiation,Regional,1793 (51.0%),394 (11.2%),1327 (37.8%)
Placement,Metro,985 (69.7%),107 (7.6%),322 (22.8%)
Placement,Regional,1036 (60.6%),153 (8.9%),521 (30.5%)
