Interactions,In ISF_notif,Not in ISF_notif,In ISF_invest,Not in ISF_invest,In ISF_subst,Not in ISF_subst,In ISF_place,Not in ISF_place
0,59.0%,80.8%,66.0%,84.4%,80.8%,92.0%,88.9%,95.9%
1,12.9%,7.6%,13.8%,7.4%,12.1%,5.0%,1.7%,0.6%
2,9.1%,4.4%,8.2%,3.5%,4.3%,1.8%,2.2%,0.9%
3,6.1%,2.4%,5.1%,2.1%,1.9%,0.8%,1.9%,0.8%
4,4.5%,1.6%,3.1%,1.3%,0.6%,0.3%,1.1%,0.4%
5,2.9%,1.2%,1.8%,0.7%,0.2%,0.1%,1.0%,0.3%
6,2.1%,0.7%,1.0%,0.3%,0.1%,0.0%,0.7%,0.2%
7,1.2%,0.6%,0.5%,0.1%,0.0%,0.0%,0.5%,0.3%
8+,2.1%,0.7%,0.5%,0.2%,0.0%,0.0%,2.0%,0.6%
