Estimate,cil,ciu,model
0.9,0.87,0.93,Poisson regression
0.86,0.77,0.97,Negative binomial regression
0.85,0.71,1.01,Negative binomial with generalised estimating equations
0.89,0.82,0.98,Negative binomial with random intercepts and slopes
0.89,0.82,0.97,Negative binomial with random intercepts
