n,stat
12357,first_events
16699,siblings
50408,all_kids
4789,cplaces
1995,mplaces
2,med_famsze
6506,missing_fathers
17140,mothers
16637,female
33709,cohort
334,deaths_pre1
440,deaths
418,stillbirths
