Stage,0,1,2,3,4,5,6,7,8+
Notification,63.3%,11.9%,8.2%,5.4%,3.9%,2.5%,1.8%,1.1%,1.8%
Investigation,69.7%,12.5%,7.3%,4.5%,2.8%,1.5%,0.8%,0.4%,0.4%
Substantiation,83.1%,10.6%,3.8%,1.6%,0.5%,0.2%,0.1%,0.0%,0.0%
Placement,90.3%,1.5%,1.9%,1.6%,1.0%,0.8%,0.6%,0.5%,1.7%
