Stage,<1,1,2,3,4,5,6,7,8+,N/A
Notification,11.4%,5.0%,3.7%,3.1%,2.6%,2.4%,2.1%,1.7%,4.6%,63.3%
Investigation,7.5%,3.6%,2.9%,2.6%,2.2%,2.2%,2.0%,1.6%,5.5%,69.7%
Substantiation,3.7%,2.0%,1.7%,1.4%,1.2%,1.1%,1.1%,1.0%,3.4%,83.5%
Placement,3.4%,1.2%,1.0%,0.8%,0.7%,0.5%,0.5%,0.4%,1.2%,90.3%
